,capHir1,SC,criGri1,chiLan1,PPEMM,oryAfe1,MM,HPGPNRMPCCSOT,CCO,ECFCMAOLPPEMM,HPGPNRMPC,HPGPNRMPCCSOTSJMCMMRHCCOOOSVCTOPBOCECFCMAOLPPEMMESC,camFer1,VCTOPBOC,lepWed1,macFas5,oviAri3,HPGPNRMPCCSO,TO,TOPBOC,papAnu2,mesAur1,AOL,loxAfr3,JMCMMR,ECFCMAOL,panHod1,otoGar3,dasNov3,LETCEO,CE,MAOL,OL,PBOC,bosTau8,pteVam1,rn6,odoRosDiv1,ochPri3,LE,FCMAOL,HCCO,HPGPNRMPCCSOTSJMCMMRHCCOOOSVCTOPBOCECFCMAOLPPEMMESCLETCEOD,chlSab2,CM,musFur1,ESC,susScr3,eriEur2,vicPac2,hg38,pteAle1,myoDav1,HPGP,RM,ponAbe2,SVCTOPBOCECFCMAOLPPEMM,SJMCMMRHCCOOO,RMP,CO,panTro4,cerSim1,triMan1,OO,conCri1,myoLuc2,LET,speTri2,cavPor3,gorGor3,BOC,HPG,MCMMR,CS,echTel2,felCat8,oryCun2,VC,HP,MR,equCab2,eptFus1,HPGPN,canFam3,sorAra2,hetGla2,nomLeu3,octDeg1,rheMac3,RMPC,HPGPNRMPCCS,turTru2,saiBol1,SVCTOPBOC,EMM,OC,SJMCMMR,MCM,LETCE,calJac3,SJMCMMRHCCO,eleEdw1,SVCTOPBOCECFCMAOLPPEMMESC,mm10,chrAsi1,jacJac1,CMAOL,ailMel1,LETCEOD,orcOrc1,EC,PP,HPGPNRMPCCSOTSJMCMMRHCCOOO,micOch1,tupChi1,y
chrX:48678225_48678326_+,0.009427548000000001,0.0058362354000000005,,,0.005977643,0.008722465,,0.0072269794,,0.005843779499999999,0.009555418000000001,0.006718341700000001,0.0059712490000000005,0.0056558623999999995,0.0042073894,0.010198826,0.009427548000000001,0.0070900805,0.0053156787,0.0051315567,0.011272964,,0.0047139693,0.008352879,,0.005843779499999999,,,,0.007902258,0.007723838,0.0046777427,0.0046206038,0.0053721983,,,,0.0051344004,0.005937328,0.008352879,0.005972699000000001,,0.0061240727,0.008700404,,0.0056542973,0.0065536606,,,0.0056380256999999994,0.009339535,0.009562144,,0.009643284,0.010198826,0.010116789000000001,0.006099082,0.008086654,0.011051337,,0.009339535,0.00558595,0.006563733299999999,0.0073871933999999995,0.005770545,,0.007723838,0.0071776290000000005,,0.009275354,0.005466723299999999,0.009643284,,0.009571035,0.0076795258,0.0063771713,0.0061147,0.00543233,0.009339535,,0.0060785823,,0.009643284,0.0055512437,,,,,0.010198826,0.009525598,0.009555418000000001,0.0053156787,0.009092605,0.0058836364,,0.009427548000000001,0.007624077,,0.007723838,0.009778149,0.007102169,,0.006099082,,,,0.0056347490000000005,0.0053597385999999995,0.0061240727,0.0053156787,0.005282,0.009579935999999999,0.0072269794,,0.0065573490000000005,0
chr4:128269580_128269681_-,0.027187347,,0.008856031,0.050056215,0.037879895,0.02287584,0.04261126,0.07598795,0.05299972,0.041127075,0.061294224,0.03995768,0.059009365999999994,0.038548442999999995,0.038138125,0.061771255,0.027342191000000002,0.06747663,0.029768418999999997,0.037051033,0.06261479,0.008542679000000001,0.043359025999999995,0.04075285,0.02041299,0.041127075,0.025759134,0.09186455,0.055099922999999995,0.035340678,0.040385723,0.043359025999999995,0.038138125,0.027342191000000002,0.029329542000000004,0.030875022999999998,,0.033168055,0.020082824,0.0333171,0.043359025999999995,0.03739781,0.04013472,0.034971423,0.007954695,0.08293541,,0.022186757999999997,,0.053918466,0.028069452999999998,0.030875022999999998,0.049688224,0.031313725,0.061771255,0.0263204,0.041127075,0.04217277,0.061771255,0.058166616,0.04249852,0.03163864,0.027304602999999997,0.039754536,,0.044113177999999996,0.04063101,0.024187202999999997,0.031564165,0.031141127,0.027342191000000002,0.031313725,0.009043265,0.053625177999999996,0.01985766,0.11647923,0.037467073999999996,0.059009365999999994,0.031048258999999998,0.010520476,0.06818882400000001,0.030169627,0.032174677,0.030032532,,0.055142228,0.032174677,0.059827685,0.05811401,0.06615404,0.06900062400000001,0.029768418999999997,0.038707245,0.037849285,0.045764862999999996,0.027342191000000002,0.027561884,0.0085188635,0.03861426,0.047150715999999995,0.035702467,,0.041127075,0.0071597169999999995,0.043597374,0.013510892,0.043359025999999995,0.06367013,0.03741879,0.038684797,0.04266728,0.030875022999999998,0.038830604,0.012342378000000001,0.055405844,0
chr10:119807177_119807278_+,,,,,,,,0.00642542,,,0.007795319,0.00818277,,,,0.0083223395,,0.0067770686,,,0.0083223395,,,,,,,,,,,,,,,,,,,,,,,0.0083223395,,,,,,,0.007912987,,,0.007912987,0.0083223395,0.007874638,,,0.0083223395,,0.010465455,,,,,,,,,0.006979479,,0.007912987,,0.009863231,,,,,0.007912987,,,,0.007912987,0.005951483299999999,,,0.0074021523,,0.0083223395,0.0083223395,0.0061868154,,0.010455279,,,,,,,0.008213173,,,0.00956163,,,,,,,,,,0.00642542,,,0
chr4:87530758_87530859_-,0.031515766,0.02501745,0.01295542,0.050038337999999995,0.022096805,0.035173833,0.03180909,0.025657816,0.04967115,0.021416167000000003,0.02776431,0.024789086000000002,0.030354496,0.03197444,0.024238233999999997,0.04929547,0.031055832000000002,0.025657816,0.033183317999999996,0.035218067,0.05157858,0.017800238,0.02185612,0.019163724,0.009514743,0.02020757,0.031055832000000002,0.01561237,0.023039958,0.019032668,0.020286035,0.020851921000000002,0.021786904,0.031286195,0.035391394,0.023754499999999998,0.012086508000000001,0.020986908999999998,0.009449858,0.01992883,0.02167507,0.048311796,0.018135918,0.06558443,0.015962575,0.016015813,0.021830113999999998,0.027041207999999997,0.07874849,0.025130795,0.025165454,0.031476453,0.014952611000000001,0.025656875,0.04929547,0.025656875,0.021416167000000003,0.04018472,0.04929547,0.050779853,0.025656875,0.012142638999999998,0.017423421,0.02146903,0.027105775,0.03180909,0.01915811,0.106718935,0.044571534,0.025656875,0.031286195,0.025656875,0.010544638,0.042813078,0.021423385,0.016184433999999998,0.020498585,0.030354496,0.025656875,0.009828176,0.015426761499999999,0.044127837,0.025656875,0.021166105,,0.059313885999999996,0.016982976,0.05531755,0.04929547,0.04929547,0.037074048,0.04889748,0.042813078,0.035375252,0.047192495,0.031286195,0.033000413,0.013456351,0.01945612,0.030691046,0.033599923999999996,0.021483042999999997,0.02020757,0.01450842,0.018144343,0.012156523999999998,0.020851921000000002,0.019845946,0.018135918,0.05926815,0.023438512999999998,0.023610493,0.025657816,0.014924725500000001,0.03552745,0
chr2:74291781_74291882_-,0.005299383299999999,0.006177510600000001,,0.005339931700000001,0.0042174715,0.007186871,,0.0041791787,0.005464489,0.004061345,0.0071476432,0.004041101,0.0039075559999999995,0.004803046599999999,0.004837027,0.008087436,,0.005193392,0.0058142953,0.005392784,0.008087436,,0.004015149,0.00547915,0.020823168,0.003843595,,,0.0030674770000000003,0.004497923,0.005430275,0.003964595,0.004856984,0.005664974000000001,0.006815841400000001,0.0059954035,0.013013708,0.005248183399999999,0.004624619,0.005208260399999999,0.0038964471000000004,0.004821538,0.003936239,0.008188672,,,0.0047599417,,,0.004584136,0.007895383,0.004840413,,0.007895383,0.008087436,0.007998979,0.00481493,0.0038605754,0.008087436,0.0050411713,0.007895383,0.006098726800000001,0.005541635,0.0034478365000000003,0.0065536504,,0.006848592,,0.005059093,0.007895383,0.005664974000000001,0.007895383,0.015518911000000002,0.01063335,0.004286372,0.0053114044,0.0031344232,0.0039763716,0.007895383,0.0153111275,0.0055079362,0.0026052783,0.007895383,0.005011059,,,0.007895383,0.0051945006,0.008087436,0.008188672,0.0071476432,0.0059182853,0.014145429,0.0051895943,0.0029120897,0.005434731999999999,0.0044155037,0.015424233999999998,0.006009830600000001,0.011049673999999999,0.0043538776,0.010176922,0.0047562540000000006,0.050047982000000005,0.009980028,,0.004266632,0.0046155755,0.003936239,0.00513702,0.0057634586,0.004885016,0.0040274784,0.0106149865,0.006027263000000001,0
chr1:110021698_110021799_+,0.40163678,0.7235746,0.42716834,0.37265414,0.42285097,0.2818952,0.6024527,0.6282878000000001,0.39719918,0.42285097,0.5845198,0.42338159999999997,0.30246934,0.42285097,0.48704849999999994,0.6781286999999999,0.40163678,0.6282878000000001,0.7789315,0.45432764,0.6781286999999999,0.45315558,0.52522606,0.6809675999999999,0.45416775,0.50301224,0.4170173,0.6126821,0.47631583,0.39148453,0.8677110999999998,0.49642617,0.48020715,0.40163678,0.47735712,0.42138094,0.3382019,0.48437709999999995,0.5106951,0.69870865,0.49642617,0.39719918,0.42338159999999997,0.6577926,0.44105333,0.49180209999999996,0.77032936,0.6390995,0.77347153,0.3721514,0.5110858,0.47750077,0.5603024999999999,0.5101551999999999,0.6781286999999999,0.5101551999999999,0.42285097,0.4688228,0.6781286999999999,0.39661409999999997,0.5110858,0.50460756,0.5095351,0.53526264,0.73867404,0.65764004,0.39307174,0.42903850000000004,0.5326824,0.5110858,0.40163678,0.5110858,0.38781774,0.7478611,0.36702415,0.52522606,0.6386104,0.34400925,0.5110858,0.31741798,0.586069,0.78385407,0.56315666,0.58655316,0.72901976,0.6459912,,0.42029294,0.6781286999999999,0.6781286999999999,0.5845198,0.7789315,0.7478611,0.42285097,0.63845897,0.40163678,0.44163359999999996,0.44105333,0.39148453,0.7266156,0.44163359999999996,0.47940138,0.42285097,0.32433579999999995,0.86955976,0.44297704,0.49642617,0.50729626,0.43290302,0.7789315,0.54484713,0.42138094,0.4688228,0.7137732,0.47496668,1
chr11:65131899_65132000_-,0.0060856272,0.0034042022,,0.0049457885,0.005995667,0.005525569,0.0053543267,0.0056911064,0.0045690667,0.005515139499999999,0.005669663,0.0056001605000000005,0.006587168000000001,0.0054395823,,0.0057955435,0.006003522,0.0056911064,0.005013383,0.0056338487,0.0066388478,,0.004112132,0.008080637,0.0056945453,0.005515139499999999,0.006011845,0.006113621999999999,0.0071107390000000005,0.0060074725,,0.0046502390000000005,,0.0058991387,0.005706573,0.006766171,,,0.0050382908,0.007807795,0.0057175596999999995,0.0043302723,0.005613101,0.006342364499999999,,0.0042480594,0.00445653,0.005318931999999999,,0.006415853000000001,0.0065115797,0.006385385,0.0053543267,0.0065454068,0.0057955435,0.0068815704,0.005515139499999999,0.0058351982999999994,0.005669663,0.004961238,0.0065115797,0.005365408,0.0058130166,0.0039601540000000005,,0.0057708137,0.0068477225,,0.00693559,0.006738960699999999,0.0058991387,0.0065115797,,0.0061209393,,0.0046165963,,0.006074866999999999,0.0065115797,,0.006709654000000001,0.0061380835,0.0061933184,0.0043126354,,,0.007078330999999999,0.007033642,0.0057955435,0.005669663,0.0060424996,0.005013383,0.0058428324,0.0054854415,0.005881108,0.006003522,0.005115634,,0.006699292,0.0068651526000000004,0.0049476177,0.008092671,0.0055630067,,,0.007892783,0.0052912636,0.0045331353,0.005613101,0.005013383,0.0054943548,0.006385385,0.005753734,,0.0051864916,0
chr13:27141954_27142055_-,,,,0.024947552,,,,,,,0.009824611,,,,,0.026826795,,,,,0.029976882000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014620066000000001,,,0.013406818999999999,0.024278637000000002,0.009129628,,,0.02751456,,0.014323728,,,,,,,,,0.009691675,,0.014323728,,,,,,,0.014323728,,,,0.009824611,,,,0.009615435,,0.026826795,0.014817414,,,,,,,,,,,,,,,,,,,,,,,,,,0
chr19:641837_641938_+,,,,,,,,0.0030557418,,,0.0028733418,0.0029220059999999996,,,,0.0032599496,,0.0031362858,0.0044101086,,0.0031680686,,,,,,,0.004258217,,,,,,,,,,,,,,,,0.0029756704,,,,,,,0.004736279,,,0.0030696152,0.0032599496,,,,0.0030662783,,0.004823496,,,,,,,,,0.004823496,,0.004823496,,0.0057020859999999994,,,,,0.004823496,,0.0030976068,,0.0030696152,,,,0.003010472,,0.0032599496,0.0029747142,0.0028286318,0.00436696,0.0042598243,,,,,,,0.0057915114,,,0.003079981,,,,,,,0.00436696,,,0.0030557418,,,0
chr17:82392648_82392749_-,,,0.022026953999999998,0.007152819499999999,,,,0.008461907,0.00885537,0.010596693,0.009130079000000001,0.012525963999999999,,0.013453918999999998,,0.009130528,,0.006855951999999999,0.0116743,0.011389199,0.008349144000000001,0.03034181,,,0.010442382,0.0072381,,,,,,,,,,,,,,,,0.008670131999999999,,0.009241815,0.02064705,,,,,,0.010928937,,,0.009130079000000001,0.009130528,0.007938362,0.010596693,0.0079174135,0.009130528,0.007288894000000001,0.008787985,0.010546099,,,,,,,0.016245728,0.010158849000000001,,0.009276135,0.006517548000000001,0.006028036600000001,,,,,0.008787985,,0.008605454,,0.009130079000000001,,,0.0050726723999999996,0.010325701,0.011888443,0.009130528,0.009130528,0.008332555,0.013512149,0.0062916637,0.010312844,,,0.0084916,0.018104004,,0.00896097,0.007556933399999999,,0.013185779,0.010274074000000001,,0.0102463765,,,,0.020749718,0.00790563,,0.008461907,,,0
